Signal Id,SignalGrowth,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,MonthlyGrowth,AlgoTrading
1368342,2044.27,1890,1330,560,807.28,-443.63,30770.65,-14453.39,0.16,12.98,2.13,8.63,11.6,90
1636506,2540.82,210,162,48,133.49,-80.75,2162.77,-432.82,0.41,20.28,5,8.24,11.17,8
843451,687.37,1121,789,332,254.65,-276.76,8014.13,-5447.12,0.12,3.32,1.47,2.29,4.95,100
1486477,-90.45,559,419,140,161.35,-770.9,6368.6,-7521,-0.03,-0.3,0.85,-2.06,-98.75,0
1818780,635.27,365,232,133,1768,-879.2,26700.5,-11491.85,0.14,11.28,2.32,41.67,5.85,1
1598419,647.23,470,301,169,1793,-1894.46,28447.56,-16389.95,0.12,4.14,1.74,25.65,4.46,1
1245170,471.52,3092,1970,1122,16.48,-13.65,5030.85,-2746.65,0.19,15.8,1.83,0.74,6.14,99
1725375,1180.02,1490,1095,395,366.09,-257.81,9156.27,-5552.67,0.11,3.68,1.65,2.42,11.66,0
1722050,587.1,390,272,118,1759,-875.6,28177.04,-11483.92,0.14,12.42,2.45,42.8,6.39,0
1334849,2393.06,798,606,192,44.96,-57.8,1712.62,-1036.51,0.16,3.53,1.65,0.85,31.55,99
1788678,844.13,707,574,133,36.05,-24,3629.32,-949.6,-0.04,17.48,3.82,3.79,36.8,0
1857419,298.25,987,712,275,49.5,-43.9,2751.5,-1274.16,0.25,33.65,2.16,1.5,6.2,100
1712504,1584.02,1958,1475,483,68.66,-381.89,15898.54,-13149.19,0.1,1.28,1.21,1.4,-36.31,99
1766488,216.07,1330,995,335,230.44,-68.56,6485.39,-3514.53,0.13,12.28,1.85,2.23,5.25,99
1726461,2910.37,2130,1316,814,1112.5,-778.84,25129.94,-10749.21,0.14,17.59,2.34,6.75,4.06,0
1895985,146.33,235,165,70,407.33,-205.31,6244.9,-1855,0.28,17.89,3.37,18.68,0.69,0
1829142,124.18,376,300,76,172.38,-253.28,6066.57,-4825.85,0.12,0.9,1.26,3.3,-23.11,0
951062,1224.71,6636,4328,2308,45.41,-120.52,8506.16,-6812.34,0.09,4.4,1.25,0.26,3.3,99
1778541,121.67,733,565,168,135.69,-59.38,6355.37,-2705.2,0.25,15.16,2.35,4.98,6.97,99
1780040,770.25,1084,742,342,1982.58,-267.72,28737.61,-7002.59,0.24,16.2,4.1,20.05,25.9,100
1888377,1202.24,742,582,160,51.92,-97.17,6010.02,-2548.29,0.33,5.06,2.36,4.67,49.02,13
1759554,226.98,1066,779,287,45.81,-52.25,2664.47,-1129.63,0.19,28.07,2.36,1.44,7.89,99
1694912,737.9,3487,2489,998,252.84,-375.42,17962.62,-14858.97,0.11,4.86,1.21,0.89,0.16,98
1855883,1040.57,548,412,136,1131,-1675.07,37759.09,-19312.38,0.17,8.62,1.96,33.66,48.7,0
1184516,715.47,615,427,188,154.07,-104.96,4998.69,-3025.15,0.19,9.36,1.65,3.21,8.53,40
1273204,618.05,893,686,207,18.85,-19.92,571.62,-267.85,0.18,15.25,2.13,0.34,7.06,100
1894325,68.88,1182,843,339,19.53,-17.34,2378.52,-1033.8,0.27,35.45,2.3,1.14,11.14,100
910374,1445.21,457,366,91,122.75,-57.98,3837.48,-817.38,0.34,32.45,4.69,6.61,18.18,98
1531887,543.36,3681,2436,1245,91.96,-207.59,15686.8,-13973.87,0.09,2.4,1.12,0.47,-19.57,93
1526229,563.88,3858,2869,989,30.11,-129.48,15058.66,-10308.25,0.16,8.02,1.46,1.23,12.99,99
1312512,937.68,1189,887,302,97.36,-158.98,5129.19,-2316.29,0.24,9.76,2.21,2.37,112.7,60
1274869,481.48,754,582,172,36.15,-40.52,1580.32,-960.2,0.23,5.17,1.65,0.82,-0.14,74
1612455,514.11,1087,647,440,983.8,-187.64,9318.36,-4242.59,0.13,11.05,2.2,4.67,1.75,0
1594934,525.54,3703,2785,918,84.33,-178.01,9868.06,-8745.45,0.09,0.99,1.13,0.3,-14.92,99
1908576,358.92,414,310,104,80,-24.99,3953.59,-697.13,0.62,22.9,5.67,7.87,11.99,2
1507561,438.94,99,43,56,97.66,-58.67,1950.01,-1291.6,0.2,3.36,1.51,6.65,-4.96,0
1415131,575.71,818,582,236,1254.51,-3297.29,54677.51,-18469.76,0.24,10.94,2.96,44.26,7.99,84
1607553,255.13,1395,928,467,123.97,-76.25,1931.1,-1593.64,0.07,2.38,1.21,0.24,-21.61,99
1882495,27.25,71,53,18,50.46,-90.21,858.09,-469.83,0.26,2.06,1.83,5.47,0.89,0
1059619,415.74,2661,1786,875,154.06,-322.06,19226.52,-11503.45,0.13,3.65,1.67,2.9,0.22,99
1196985,422.79,597,505,92,196.88,-475.89,13561.73,-10346.35,0.17,2.27,1.31,5.39,11.94,100
1500355,521.37,664,589,75,27.95,-18.52,829.73,-249.69,0.28,23.96,3.32,0.87,10.8,99
1279728,315.79,881,680,201,21.53,-32.86,993.57,-618.1,0.15,6.05,1.61,0.43,-0.78,77
1729929,297.27,240,193,47,140.6,-229.18,4540.45,-1896.57,0.22,8.51,2.39,11.02,11.78,100
1815355,492.69,755,564,191,792.31,-567.47,33893.34,-23720,0.16,2.57,1.43,13.47,15.24,0
1559158,300.65,2746,1790,956,302.99,-477.47,27057.5,-24194.93,0.09,1.17,1.12,1.04,2.52,99
1856252,358.21,227,137,90,147.99,-74.83,3017.36,-1416.19,0.22,9.59,2.13,7.05,31.34,96
1818742,337.04,386,220,166,81.17,-28.51,1136.29,-480.67,0.05,11.14,2.36,1.7,27.48,39
726729,709.41,7099,6155,944,588.29,-970.23,35166.06,-17056.35,0.11,6.86,2.06,2.55,3.43,99
1734499,830.27,335,201,134,28265,-8750,246454.88,-151167.41,0.2,2.95,1.63,284.44,-10.95,0
