Signal Id,SignalGrowth,Trades,ProfitTrades%,ProfitTrades,LossTrades%,LossTrades,WinRate,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,MonthlyGrowth,AlgoTrading
1368342,2044.27,1890,70.37037037,1330,29.62962963,560,42.10526316,807.28,-443.63,30770.65,-14453.39,0.16,12.98,2.13,8.63,11.6,90
1636506,2540.82,210,77.14285714,162,22.85714286,48,29.62962963,133.49,-80.75,2162.77,-432.82,0.41,20.28,5,8.24,11.17,8
843451,687.37,1121,70.38358608,789,29.61641392,332,42.07858048,254.65,-276.76,8014.13,-5447.12,0.12,3.32,1.47,2.29,4.95,100
1486477,-90.45,559,74.95527728,419,25.04472272,140,33.41288783,161.35,-770.9,6368.6,-7521,-0.03,-0.3,0.85,-2.06,-98.75,0
1818780,635.27,365,63.56164384,232,36.43835616,133,57.32758621,1768,-879.2,26700.5,-11491.85,0.14,11.28,2.32,41.67,5.85,1
1598419,647.23,470,64.04255319,301,35.95744681,169,56.1461794,1793,-1894.46,28447.56,-16389.95,0.12,4.14,1.74,25.65,4.46,1
1245170,471.52,3092,63.71280724,1970,36.28719276,1122,56.95431472,16.48,-13.65,5030.85,-2746.65,0.19,15.8,1.83,0.74,6.14,99
1725375,1180.02,1490,73.48993289,1095,26.51006711,395,36.07305936,366.09,-257.81,9156.27,-5552.67,0.11,3.68,1.65,2.42,11.66,0
1722050,587.1,390,69.74358974,272,30.25641026,118,43.38235294,1759,-875.6,28177.04,-11483.92,0.14,12.42,2.45,42.8,6.39,0
1334849,2393.06,798,75.93984962,606,24.06015038,192,31.68316832,44.96,-57.8,1712.62,-1036.51,0.16,3.53,1.65,0.85,31.55,99
1788678,844.13,707,81.18811881,574,18.81188119,133,23.17073171,36.05,-24,3629.32,-949.6,-0.04,17.48,3.82,3.79,36.8,0
1857419,298.25,987,72.13779129,712,27.86220871,275,38.62359551,49.5,-43.9,2751.5,-1274.16,0.25,33.65,2.16,1.5,6.2,100
1712504,1584.02,1958,75.3319714,1475,24.6680286,483,32.74576271,68.66,-381.89,15898.54,-13149.19,0.1,1.28,1.21,1.4,-36.31,99
1766488,216.07,1330,74.81203008,995,25.18796992,335,33.66834171,230.44,-68.56,6485.39,-3514.53,0.13,12.28,1.85,2.23,5.25,99
1726461,2910.37,2130,61.78403756,1316,38.21596244,814,61.85410334,1112.5,-778.84,25129.94,-10749.21,0.14,17.59,2.34,6.75,4.06,0
1895985,146.33,235,70.21276596,165,29.78723404,70,42.42424242,407.33,-205.31,6244.9,-1855,0.28,17.89,3.37,18.68,0.69,0
1829142,124.18,376,79.78723404,300,20.21276596,76,25.33333333,172.38,-253.28,6066.57,-4825.85,0.12,0.9,1.26,3.3,-23.11,0
951062,1224.71,6636,65.22001206,4328,34.77998794,2308,53.3271719,45.41,-120.52,8506.16,-6812.34,0.09,4.4,1.25,0.26,3.3,99
1778541,121.67,733,77.08049113,565,22.91950887,168,29.73451327,135.69,-59.38,6355.37,-2705.2,0.25,15.16,2.35,4.98,6.97,99
1780040,770.25,1084,68.4501845,742,31.5498155,342,46.0916442,1982.58,-267.72,28737.61,-7002.59,0.24,16.2,4.1,20.05,25.9,100
1888377,1202.24,742,78.43665768,582,21.56334232,160,27.49140893,51.92,-97.17,6010.02,-2548.29,0.33,5.06,2.36,4.67,49.02,13
1759554,226.98,1066,73.07692308,779,26.92307692,287,36.84210526,45.81,-52.25,2664.47,-1129.63,0.19,28.07,2.36,1.44,7.89,99
1694912,737.9,3487,71.37940923,2489,28.62059077,998,40.09642427,252.84,-375.42,17962.62,-14858.97,0.11,4.86,1.21,0.89,0.16,98
1855883,1040.57,548,75.18248175,412,24.81751825,136,33.00970874,1131,-1675.07,37759.09,-19312.38,0.17,8.62,1.96,33.66,48.7,0
1184516,715.47,615,69.43089431,427,30.56910569,188,44.02810304,154.07,-104.96,4998.69,-3025.15,0.19,9.36,1.65,3.21,8.53,40
1273204,618.05,893,76.81970885,686,23.18029115,207,30.17492711,18.85,-19.92,571.62,-267.85,0.18,15.25,2.13,0.34,7.06,100
