Signal Id,SignalGrowth,Trades,ProfitTrades%,ProfitTrades,LossTrades%,LossTrades,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,MonthlyGrowth,AlgoTrading
1750053,42.42,126,99.20634921,125,0.793650794,1,2.61,2881.69,2882.69,3.66,5.48,98
1824847,573.45,2600,99.15384615,2578,0.846153846,22,0.18,2034.64,706.64,27.51,60.8,99
1361650,68.98,413,100,413,0,0,1.25,1748.74,36.97,32.64,1.47,0
1361650,68.98,413,100,413,0,0,1.25,1748.74,36.97,32.64,1.47,0
1636995,112.54,214,98.59813084,211,1.401869159,3,1.44,1545.93,113.87,8.81,1.5,0
1776410,75.34,361,100,361,0,0,1.3,1239.53,59.19,3.14,2.04,0
1798599,24.27,162,98.14814815,159,1.851851852,3,1.56,1014.45,67.19,3.44,0.31,0
1840558,112.92,720,99.30555556,715,0.694444444,5,0.67,942.7,731.73,1.72,7.54,0
1765846,94.13,42,100,42,0,0,1.17,906.6,159.5,10.86,2.98,0
1441977,17.61,273,99.63369963,272,0.366300366,1,2.15,763.64,57.45,8.64,0.11,0
1620020,440.57,3297,99.36305732,3276,0.636942675,21,0.23,693.22,364.67,4.01,28.37,99
1600279,38.79,140,98.57142857,138,1.428571429,2,1.77,601.72,89.49,4.51,2,0
1779237,62.27,57,98.24561404,56,1.754385965,1,1.69,468.22,78.18,3.7,3.17,0
1784101,74.39,843,99.52550415,839,0.474495848,4,0.71,385.66,45.97,3.01,1.65,0
1910718,100.15,91,100,91,0,0,0.13,294.73,152.45,6.65,12.67,0
1941135,39.95,1620,98.64197531,1598,1.358024691,22,2.68,290.18,59.04,0.25,39.95,99
1721872,2760.84,419,98.09069212,411,1.909307876,8,0.71,279.03,68.44,5.23,31.58,0
1935954,60.99,165,100,165,0,0,0.47,241.38,8.49,1.89,32.94,0
1814681,4.77,38,97.36842105,37,2.631578947,1,1.21,237.45,70.23,6.25,0.47,100
1915060,52.45,385,96.62337662,372,3.376623377,13,0.47,222.58,148.98,4.83,51.33,10
1915060,52.45,385,96.62337662,372,3.376623377,13,0.47,222.58,148.98,4.83,51.33,10
1928381,3.95,8,87.5,7,12.5,1,1.14,197,83.08,2.46,3.95,100
1862691,58.85,429,100,429,0,0,0.55,183.88,8.43,15.56,6.46,0
1478132,54.18,131,92.36641221,121,7.633587786,10,0.69,171.98,34.23,9.16,0.16,0
1917521,49.67,329,89.6656535,295,10.3343465,34,0.87,127.02,13.03,2.5,45.71,100
1833470,140.42,282,98.22695035,277,1.773049645,5,0.79,112.57,60.31,97.8,7.58,100
1769418,15.56,231,100,231,0,0,2.45,104.39,9.23,0.22,3.42,100
1831200,21.92,72,81.94444444,59,18.05555556,13,0.85,90.32,18.38,10.12,4.15,100
1894497,64.07,93,93.5483871,87,6.451612903,6,0.76,80.53,32.92,6.1,21.8,100
1909867,30.27,31,93.5483871,29,6.451612903,2,1.01,75.68,41.36,2.93,9.03,0
1716069,662.76,141,95.74468085,135,4.255319149,6,0.62,69.98,44.52,5.85,11.94,34
1932848,47.78,294,84.3537415,248,15.6462585,46,0.26,68.03,11.57,1.29,47.78,0
1821711,162.37,1301,72.86702537,948,27.13297463,353,0.25,63.91,2.4,1.26,6.08,100
1683445,209.35,888,89.18918919,792,10.81081081,96,0.58,57.75,9.5,230.99,7.25,59
1937114,28.45,34,82.35294118,28,17.64705882,6,1.04,55.27,19.56,0.72,28.45,0
1856644,18.08,257,80.93385214,208,19.06614786,49,0.55,55.21,4.58,7.03,5.82,99
1910776,91.56,82,91.46341463,75,8.536585366,7,0.69,53.83,14.34,3.92,446.48,0
1923718,11.33,69,75.36231884,52,24.63768116,17,0.54,52.87,10.45,4.93,11.33,94
1917868,56.21,413,85.71428571,354,14.28571429,59,0.51,50.58,23.88,81.85,49.2,0
1896832,0.42,40,82.5,33,17.5,7,0.47,50.2,16.69,0.06,0.23,100
1898037,21.4,90,98.88888889,89,1.111111111,1,2.56,48.9,12.95,2.37,11.54,100
1915075,122.12,739,89.44519621,661,10.55480379,78,0.39,47.19,5.45,1.68,5.76,85
987229,450.86,326,85.88957055,280,14.11042945,46,0.57,45.76,5.55,2.44,3.08,91
1822082,65.19,47,89.36170213,42,10.63829787,5,0.97,45.74,13.72,2.77,15.81,100
1780014,155.54,123,91.8699187,113,8.130081301,10,0.56,45.5,11.26,1.19,35.1,11
1883458,25.76,433,71.36258661,309,28.63741339,124,0.36,43.7,5.52,2.97,10.9,100
1908564,24.18,67,79.10447761,53,20.89552239,14,0.59,43.42,10.79,55.64,13.31,100
1765849,68.77,39,97.43589744,38,2.564102564,1,1.87,42.56,33.59,10.27,2.05,0
1648082,91.49,1509,73.35984095,1107,26.64015905,402,0.15,42.25,1.62,1.21,4.3,97
1827882,126.99,2595,82.73603083,2147,17.26396917,448,0.04,41.85,2.38,0.17,36.33,99
1645412,21.6,180,98.88888889,178,1.111111111,2,0.62,41.79,41.32,2.49,1.94,94
1652139,28.13,132,98.48484848,130,1.515151515,2,0.75,41.51,28.69,4.14,0.43,0
1030482,49.59,518,99.42084942,515,0.579150579,3,1.46,40.41,24.79,6.48,0.25,0
1911841,165.48,146,84.93150685,124,15.06849315,22,0.65,37.75,9.32,2.06,10.02,100
1897959,10.41,44,77.27272727,34,22.72727273,10,0.8,37.17,7.45,1.7,9.57,100
1905097,647.43,271,73.06273063,198,26.93726937,73,0.46,37.04,4.43,7.46,67.25,33
1939658,3.27,44,86.36363636,38,13.63636364,6,1.02,36.07,29.26,352.53,3.27,0
1884539,57.5,169,95.85798817,162,4.142011834,7,1.24,35.99,29.8,9.22,10.37,0
1894325,68.88,1182,71.31979695,843,28.68020305,339,0.27,35.45,2.3,1.14,11.14,100
1857419,298.25,987,72.13779129,712,27.86220871,275,0.25,33.65,2.16,1.5,6.2,100
1911379,132.27,109,88.99082569,97,11.00917431,12,0.7,33.64,7.49,12.92,31.96,0
1922933,52.45,180,93.33333333,168,6.666666667,12,0.78,33.54,9.35,10.2,35.95,0
980283,1019.11,2974,77.23604573,2297,22.76395427,677,0.18,33.35,2.47,1.78,6.09,99
1135918,9.08,452,98.2300885,444,1.769911504,8,0.6,32.7,18.22,1.7,0.98,0
910374,1445.21,457,80.08752735,366,19.91247265,91,0.34,32.45,4.69,6.61,18.18,98
1838161,73.71,89,84.26966292,75,15.73033708,14,0.65,32.44,7.3,1.65,-0.57,61
1755222,72.5,1539,77.51786875,1193,22.48213125,346,0.14,32.39,1.68,0.62,6.56,99
1802210,92.9,807,68.27757125,551,31.72242875,256,0.2,32.1,2.82,3.51,7.27,100
1574316,209.49,2729,85.01282521,2320,14.98717479,409,0.09,31.89,2.09,1.33,5.54,99
1854447,10.13,28,82.14285714,23,17.85714286,5,0.87,31.74,11.46,14.1,2.62,100
1854447,10.13,28,82.14285714,23,17.85714286,5,0.87,31.74,11.46,14.1,2.62,100
1915229,113.92,777,71.42857143,555,28.57142857,222,0.17,31.25,2.12,1.32,5.88,99
1717667,80.27,2050,73.26829268,1502,26.73170732,548,0.21,31.03,2.63,39.4,6.74,100
1816924,16.79,85,92.94117647,79,7.058823529,6,0.51,30.62,13.24,11.33,2.76,98
1355520,35.22,1133,98.85260371,1120,1.147396293,13,0.69,30.32,9.64,9.01,0.65,0
1838725,1230.92,327,71.25382263,233,28.74617737,94,0.45,28.56,3.16,13.61,49.82,0
1917305,30.47,79,84.81012658,67,15.18987342,12,1.11,28.46,27.57,71.23,26.97,0
1759554,226.98,1066,73.07692308,779,26.92307692,287,0.19,28.07,2.36,1.44,7.89,99
1751007,20.62,214,80.37383178,172,19.62616822,42,0.6,27.8,4.77,0.96,1.71,100
1925054,11.85,25,80,20,20,5,0.95,27.78,11.93,,11.85,96
1891384,19.33,120,99.16666667,119,0.833333333,1,1.29,27.58,12.57,1.42,7.93,100
1942593,18.55,24,95.83333333,23,4.166666667,1,0.9,27.45,28.45,4.94,18.55,0
1930472,18.78,684,63.4502924,434,36.5497076,250,0.19,27.1,2.41,21.45,1.08,0
1924359,26.34,286,92.30769231,264,7.692307692,22,0.87,26.95,13.85,12.85,26.34,0
1927016,4.86,181,79.55801105,144,20.44198895,37,0.64,26.94,5.73,0.64,4.86,100
1883078,41.87,743,73.0820996,543,26.9179004,200,0.19,26.78,2.47,9.85,13.51,99
1727318,123.46,2150,70.74418605,1521,29.25581395,629,0.17,26.74,2.54,20.08,15.92,99
