Signal Id,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,AlgoTrading
1368342,1 887,1327.0,560.0,807.28,-443.63,30 754.98,-14 453.39,0.16,12.97,2.13,8.64,90
1636506,209,161.0,48.0,133.49,-80.75,2 154.55,-432.82,0.41,20.18,4.98,8.24,8
843451,1 121,789.0,332.0,254.65,-276.76,8 014.13,-5 447.12,0.12,3.32,1.47,2.29,100
1486477,557,419.0,138.0,161.35,-770.90,6 368.60,-7 490.95,-0.03,-0.29,0.85,-2.01,0
1818780,365,232.0,133.0,1 768.00,-879.20,26 700.50,-11 491.85,0.14,11.28,2.32,41.67,1
1598419,470,301.0,169.0,1 793.00,-1 894.46,28 447.56,-16 389.95,0.12,4.14,1.74,25.65,1
1245170,3 086,1966.0,1120.0,16.48,-13.65,5 025.54,-2 745.38,0.19,15.77,1.83,0.74,99
1725375,1 484,1090.0,394.0,366.09,-257.81,9 121.84,-5 551.97,0.11,3.65,1.64,2.41,0
1722050,390,272.0,118.0,1 759.00,-875.60,28 177.04,-11 483.92,0.14,12.42,2.45,42.80,0
1334849,795,603.0,192.0,44.96,-57.80,1 708.13,-1 036.51,0.16,3.51,1.65,0.84,99
1788678,687,556.0,131.0,36.05,-24.00,3 515.42,-947.75,0.04,16.75,3.71,3.74,0
1857419,974,702.0,272.0,49.50,-43.90,2 690.13,-1 228.37,0.26,33.30,2.19,1.50,100
1712504,1 958,1475.0,483.0,68.66,-381.89,15 898.54,-13 149.19,0.10,1.28,1.21,1.40,99
1766488,1 330,995.0,335.0,230.44,-68.56,6 485.39,-3 514.53,0.13,12.28,1.85,2.23,99
1726461,2 125,1311.0,814.0,1 112.50,-778.84,25 019.72,-10 749.21,0.14,17.45,2.33,6.72,0
1895985,235,165.0,70.0,407.33,-205.31,6 244.90,-1 854.64,0.28,17.92,3.37,18.68,0
1829142,376,300.0,76.0,172.38,-253.28,6 066.57,-4 825.85,0.12,0.90,1.26,3.30,0
951062,6 626,4323.0,2303.0,45.41,-120.52,8 498.84,-6 800.65,0.09,4.41,1.25,0.26,99
1778541,729,561.0,168.0,135.69,-59.38,6 266.33,-2 705.20,0.25,14.79,2.32,4.88,99
1780040,1 076,735.0,341.0,1 982.58,-267.72,28 624.34,-6 994.51,0.24,16.12,4.09,20.10,100
1888377,713,559.0,154.0,51.92,-97.17,5 835.78,-2 475.97,0.33,4.91,2.36,4.71,14
1405177,496,321.0,175.0,414.00,-159.99,5 299.37,-3 712.19,0.15,2.56,1.43,3.20,51
1759554,1 055,771.0,284.0,45.81,-52.25,2 630.29,-1 110.80,0.19,27.79,2.37,1.44,99
1694912,3 474,2482.0,992.0,252.84,-375.42,17 905.81,-14 811.87,0.11,4.85,1.21,0.89,98
1855883,541,405.0,136.0,1 131.00,-1 675.07,37 128.13,-19 312.38,0.17,8.33,1.92,32.93,0
1184516,615,427.0,188.0,154.07,-104.96,4 998.69,-3 025.15,0.19,9.36,1.65,3.21,40
1273204,889,682.0,207.0,18.85,-19.92,569.54,-267.85,0.18,15.15,2.13,0.34,100
1894325,1 176,837.0,339.0,19.53,-17.34,2 362.01,-1 033.80,0.27,35.02,2.28,1.13,100
