Signal Id,SignalGrowth,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,MonthlyGrowth,AlgoTrading
1368342,2 044.27,1 890,1330.0,560.0,807.28,-443.63,30 770.65,-14 453.39,0.16,12.98,2.13,8.63,"
11.60
",90
1636506,2 540.82,210,162.0,48.0,133.49,-80.75,2 162.77,-432.82,0.41,20.28,5.00,8.24,"
11.17
",8
843451,687.37,1 121,789.0,332.0,254.65,-276.76,8 014.13,-5 447.12,0.12,3.32,1.47,2.29,"
4.95
",100
1486477,-90.45,559,419.0,140.0,161.35,-770.90,6 368.60,-7 521.00,-0.03,-0.30,0.85,-2.06,"
-98.75
",0
1818780,635.27,365,232.0,133.0,1 768.00,-879.20,26 700.50,-11 491.85,0.14,11.28,2.32,41.67,"
5.85
",1
1598419,647.23,470,301.0,169.0,1 793.00,-1 894.46,28 447.56,-16 389.95,0.12,4.14,1.74,25.65,"
4.46
",1
1245170,471.52,3 092,1970.0,1122.0,16.48,-13.65,5 030.85,-2 746.65,0.19,15.80,1.83,0.74,"
6.14
",99
1725375,1 180.02,1 490,1095.0,395.0,366.09,-257.81,9 156.27,-5 552.67,0.11,3.68,1.65,2.42,"
11.66
",0
1722050,587.10,390,272.0,118.0,1 759.00,-875.60,28 177.04,-11 483.92,0.14,12.42,2.45,42.80,"
6.39
",0
1334849,2 393.06,798,606.0,192.0,44.96,-57.80,1 712.62,-1 036.51,0.16,3.53,1.65,0.85,"
31.55
",99
1788678,844.13,707,574.0,133.0,36.05,-24.00,3 629.32,-949.60,-0.04,17.48,3.82,3.79,"
36.80
",0
1857419,298.25,987,712.0,275.0,49.50,-43.90,2 751.50,-1 274.16,0.25,33.65,2.16,1.50,"
6.20
",100
1712504,1 584.02,1 958,1475.0,483.0,68.66,-381.89,15 898.54,-13 149.19,0.10,1.28,1.21,1.40,"
-36.31
",99
1766488,216.07,1 330,995.0,335.0,230.44,-68.56,6 485.39,-3 514.53,0.13,12.28,1.85,2.23,"
5.25
",99
